run_id	json_filename	checkpoint_family	checkpoint_path	checkpoint_sha256	code_commit	git_status_short	corrected_noise_code_path	corrected_noise_function_or_diff	train_command	eval_command	config_path_or_inline_config	dataset_name	dataset_split	tokenizer_or_preprocess	context_length	stride	batch_size	ppl_definition	analog_layers	layer_label	train_seed	d2d_seed	c2c_seed	eval_seed	sigma_c2c	sigma_d2d	ppl	old_bugged_reference_if_any	comparison_valid	notes
digital_c2c0.0_d2d0.0_seed42_20260511	digital_c2c0.0_d2d0.0_seed42_20260511.json	digital	EleutherAI/pythia-410m-deduped	N/A	6df8267		HAT/p3_hat_eval.py	c727a43 dual-bug fix in analog_layers.py	N/A (no training)	Pre-HAT PPL eval embedded in p3_hat_train.py	hat_config.json in checkpoint dir	wikitext	wikitext-2-raw-v1 (test)	GPTNeoXTokenizer	512	512	1	negative-log-likelihood token average then exp, non-overlapping stride=max_length	[]	digital	42	42	0	42	0.0	0.0	23.30		yes	Recovered from train_layer_last1.log Pre-HAT PPL eval
last1_c2c0.0_d2d0.02_seed42_20260511	last1_c2c0.0_d2d0.02_seed42_20260511.json	410m_last1_v2_seed42	/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42	bc04db1f8be39cb2fe2f721a42c43cb7c2204f3b7695928867d555569cf6c0e1	6df8267		HAT/p3_hat_eval.py	c727a43 dual-bug fix in analog_layers.py	python p3_hat_train.py --name 410m_last1_v2_seed42 --sigma_d2d 0.02 --sigma_c2c 0.01 --max_steps 500 --seed 42 --analog_layers "23"	python p3_hat_eval.py --checkpoint_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42 --n_states 256 --sigma_c2c 0.0 --sigma_d2d 0.02 --max_length 512 --output_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107 --d2d-seed 42	hat_config.json in checkpoint dir	wikitext	wikitext-2-raw-v1 (test)	GPTNeoXTokenizer (AutoTokenizer from checkpoint)	512	512	1	negative-log-likelihood token average then exp, non-overlapping stride=max_length	[23]	last1	42	42	0	42	0.0	0.02	18.806116417803228		yes	Recovered from /home/lisq753/projects/HAT_kv107/paper2/results/remote107/eval_410m_last1_v2_seed42_c2c0.0_d2d0.02_seed42.json
last1_c2c0.0_d2d0.02_seed123_20260511	last1_c2c0.0_d2d0.02_seed123_20260511.json	410m_last1_v2_seed42	/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42	bc04db1f8be39cb2fe2f721a42c43cb7c2204f3b7695928867d555569cf6c0e1	6df8267		HAT/p3_hat_eval.py	c727a43 dual-bug fix in analog_layers.py	python p3_hat_train.py --name 410m_last1_v2_seed42 --sigma_d2d 0.02 --sigma_c2c 0.01 --max_steps 500 --seed 42 --analog_layers "23"	python p3_hat_eval.py --checkpoint_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42 --n_states 256 --sigma_c2c 0.0 --sigma_d2d 0.02 --max_length 512 --output_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107 --d2d-seed 123	hat_config.json in checkpoint dir	wikitext	wikitext-2-raw-v1 (test)	GPTNeoXTokenizer (AutoTokenizer from checkpoint)	512	512	1	negative-log-likelihood token average then exp, non-overlapping stride=max_length	[23]	last1	42	123	0	123	0.0	0.02	18.744833459337755		yes	Recovered from /home/lisq753/projects/HAT_kv107/paper2/results/remote107/eval_410m_last1_v2_seed42_c2c0.0_d2d0.02_seed123.json
last1_c2c0.0_d2d0.02_seed456_20260511	last1_c2c0.0_d2d0.02_seed456_20260511.json	410m_last1_v2_seed42	/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42	bc04db1f8be39cb2fe2f721a42c43cb7c2204f3b7695928867d555569cf6c0e1	6df8267		HAT/p3_hat_eval.py	c727a43 dual-bug fix in analog_layers.py	python p3_hat_train.py --name 410m_last1_v2_seed42 --sigma_d2d 0.02 --sigma_c2c 0.01 --max_steps 500 --seed 42 --analog_layers "23"	python p3_hat_eval.py --checkpoint_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42 --n_states 256 --sigma_c2c 0.0 --sigma_d2d 0.02 --max_length 512 --output_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107 --d2d-seed 456	hat_config.json in checkpoint dir	wikitext	wikitext-2-raw-v1 (test)	GPTNeoXTokenizer (AutoTokenizer from checkpoint)	512	512	1	negative-log-likelihood token average then exp, non-overlapping stride=max_length	[23]	last1	42	456	0	456	0.0	0.02	18.800934208144323		yes	Recovered from /home/lisq753/projects/HAT_kv107/paper2/results/remote107/eval_410m_last1_v2_seed42_c2c0.0_d2d0.02_seed456.json
last1_c2c0.0_d2d0.02_seed789_20260511	last1_c2c0.0_d2d0.02_seed789_20260511.json	410m_last1_v2_seed42	/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42	bc04db1f8be39cb2fe2f721a42c43cb7c2204f3b7695928867d555569cf6c0e1	6df8267		HAT/p3_hat_eval.py	c727a43 dual-bug fix in analog_layers.py	python p3_hat_train.py --name 410m_last1_v2_seed42 --sigma_d2d 0.02 --sigma_c2c 0.01 --max_steps 500 --seed 42 --analog_layers "23"	python p3_hat_eval.py --checkpoint_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42 --n_states 256 --sigma_c2c 0.0 --sigma_d2d 0.02 --max_length 512 --output_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107 --d2d-seed 789	hat_config.json in checkpoint dir	wikitext	wikitext-2-raw-v1 (test)	GPTNeoXTokenizer (AutoTokenizer from checkpoint)	512	512	1	negative-log-likelihood token average then exp, non-overlapping stride=max_length	[23]	last1	42	789	0	789	0.0	0.02	18.766191591883974		yes	Recovered from /home/lisq753/projects/HAT_kv107/paper2/results/remote107/eval_410m_last1_v2_seed42_c2c0.0_d2d0.02_seed789.json
last1_c2c0.0_d2d0.02_seed1001_20260511	last1_c2c0.0_d2d0.02_seed1001_20260511.json	410m_last1_v2_seed42	/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42	bc04db1f8be39cb2fe2f721a42c43cb7c2204f3b7695928867d555569cf6c0e1	6df8267		HAT/p3_hat_eval.py	c727a43 dual-bug fix in analog_layers.py	python p3_hat_train.py --name 410m_last1_v2_seed42 --sigma_d2d 0.02 --sigma_c2c 0.01 --max_steps 500 --seed 42 --analog_layers "23"	python p3_hat_eval.py --checkpoint_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42 --n_states 256 --sigma_c2c 0.0 --sigma_d2d 0.02 --max_length 512 --output_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107 --d2d-seed 1001	hat_config.json in checkpoint dir	wikitext	wikitext-2-raw-v1 (test)	GPTNeoXTokenizer (AutoTokenizer from checkpoint)	512	512	1	negative-log-likelihood token average then exp, non-overlapping stride=max_length	[23]	last1	42	1001	0	1001	0.0	0.02	18.789002842840944		yes	Recovered from /home/lisq753/projects/HAT_kv107/paper2/results/remote107/eval_410m_last1_v2_seed42_c2c0.0_d2d0.02_seed1001.json
last1_c2c0.0_d2d0.05_seed42_20260511	last1_c2c0.0_d2d0.05_seed42_20260511.json	410m_last1_v2_seed42	/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42	bc04db1f8be39cb2fe2f721a42c43cb7c2204f3b7695928867d555569cf6c0e1	6df8267		HAT/p3_hat_eval.py	c727a43 dual-bug fix in analog_layers.py	python p3_hat_train.py --name 410m_last1_v2_seed42 --sigma_d2d 0.02 --sigma_c2c 0.01 --max_steps 500 --seed 42 --analog_layers "23"	python p3_hat_eval.py --checkpoint_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42 --n_states 256 --sigma_c2c 0.0 --sigma_d2d 0.05 --max_length 512 --output_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107 --d2d-seed 42	hat_config.json in checkpoint dir	wikitext	wikitext-2-raw-v1 (test)	GPTNeoXTokenizer (AutoTokenizer from checkpoint)	512	512	1	negative-log-likelihood token average then exp, non-overlapping stride=max_length	[23]	last1	42	42	0	42	0.0	0.05	18.99975393612876		yes	Recovered from /home/lisq753/projects/HAT_kv107/paper2/results/remote107/eval_410m_last1_v2_seed42_c2c0.0_d2d0.05_seed42.json
last1_c2c0.0_d2d0.05_seed123_20260511	last1_c2c0.0_d2d0.05_seed123_20260511.json	410m_last1_v2_seed42	/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42	bc04db1f8be39cb2fe2f721a42c43cb7c2204f3b7695928867d555569cf6c0e1	6df8267		HAT/p3_hat_eval.py	c727a43 dual-bug fix in analog_layers.py	python p3_hat_train.py --name 410m_last1_v2_seed42 --sigma_d2d 0.02 --sigma_c2c 0.01 --max_steps 500 --seed 42 --analog_layers "23"	python p3_hat_eval.py --checkpoint_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42 --n_states 256 --sigma_c2c 0.0 --sigma_d2d 0.05 --max_length 512 --output_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107 --d2d-seed 123	hat_config.json in checkpoint dir	wikitext	wikitext-2-raw-v1 (test)	GPTNeoXTokenizer (AutoTokenizer from checkpoint)	512	512	1	negative-log-likelihood token average then exp, non-overlapping stride=max_length	[23]	last1	42	123	0	123	0.0	0.05	18.917702103728214		yes	Recovered from /home/lisq753/projects/HAT_kv107/paper2/results/remote107/eval_410m_last1_v2_seed42_c2c0.0_d2d0.05_seed123.json
last1_c2c0.0_d2d0.05_seed456_20260511	last1_c2c0.0_d2d0.05_seed456_20260511.json	410m_last1_v2_seed42	/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42	bc04db1f8be39cb2fe2f721a42c43cb7c2204f3b7695928867d555569cf6c0e1	6df8267		HAT/p3_hat_eval.py	c727a43 dual-bug fix in analog_layers.py	python p3_hat_train.py --name 410m_last1_v2_seed42 --sigma_d2d 0.02 --sigma_c2c 0.01 --max_steps 500 --seed 42 --analog_layers "23"	python p3_hat_eval.py --checkpoint_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42 --n_states 256 --sigma_c2c 0.0 --sigma_d2d 0.05 --max_length 512 --output_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107 --d2d-seed 456	hat_config.json in checkpoint dir	wikitext	wikitext-2-raw-v1 (test)	GPTNeoXTokenizer (AutoTokenizer from checkpoint)	512	512	1	negative-log-likelihood token average then exp, non-overlapping stride=max_length	[23]	last1	42	456	0	456	0.0	0.05	18.992927526223053		yes	Recovered from /home/lisq753/projects/HAT_kv107/paper2/results/remote107/eval_410m_last1_v2_seed42_c2c0.0_d2d0.05_seed456.json
last1_c2c0.0_d2d0.05_seed789_20260511	last1_c2c0.0_d2d0.05_seed789_20260511.json	410m_last1_v2_seed42	/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42	bc04db1f8be39cb2fe2f721a42c43cb7c2204f3b7695928867d555569cf6c0e1	6df8267		HAT/p3_hat_eval.py	c727a43 dual-bug fix in analog_layers.py	python p3_hat_train.py --name 410m_last1_v2_seed42 --sigma_d2d 0.02 --sigma_c2c 0.01 --max_steps 500 --seed 42 --analog_layers "23"	python p3_hat_eval.py --checkpoint_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42 --n_states 256 --sigma_c2c 0.0 --sigma_d2d 0.05 --max_length 512 --output_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107 --d2d-seed 789	hat_config.json in checkpoint dir	wikitext	wikitext-2-raw-v1 (test)	GPTNeoXTokenizer (AutoTokenizer from checkpoint)	512	512	1	negative-log-likelihood token average then exp, non-overlapping stride=max_length	[23]	last1	42	789	0	789	0.0	0.05	18.923911782208744		yes	Recovered from /home/lisq753/projects/HAT_kv107/paper2/results/remote107/eval_410m_last1_v2_seed42_c2c0.0_d2d0.05_seed789.json
last1_c2c0.0_d2d0.05_seed1001_20260511	last1_c2c0.0_d2d0.05_seed1001_20260511.json	410m_last1_v2_seed42	/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42	bc04db1f8be39cb2fe2f721a42c43cb7c2204f3b7695928867d555569cf6c0e1	6df8267		HAT/p3_hat_eval.py	c727a43 dual-bug fix in analog_layers.py	python p3_hat_train.py --name 410m_last1_v2_seed42 --sigma_d2d 0.02 --sigma_c2c 0.01 --max_steps 500 --seed 42 --analog_layers "23"	python p3_hat_eval.py --checkpoint_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/410m_last1_v2_seed42 --n_states 256 --sigma_c2c 0.0 --sigma_d2d 0.05 --max_length 512 --output_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107 --d2d-seed 1001	hat_config.json in checkpoint dir	wikitext	wikitext-2-raw-v1 (test)	GPTNeoXTokenizer (AutoTokenizer from checkpoint)	512	512	1	negative-log-likelihood token average then exp, non-overlapping stride=max_length	[23]	last1	42	1001	0	1001	0.0	0.05	18.98204137439962		yes	Recovered from /home/lisq753/projects/HAT_kv107/paper2/results/remote107/eval_410m_last1_v2_seed42_c2c0.0_d2d0.05_seed1001.json
last2_c2c0.0_d2d0.02_seed42_20260511	last2_c2c0.0_d2d0.02_seed42_20260511.json	combined_layerlast2_v2_seed42	/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/combined_layerlast2_v2_seed42	a416b6c75d9da9e3b834f16576712d94c4ad2d40f16b53c8e8098b33a8017102	6df8267		HAT/p3_hat_eval.py	c727a43 dual-bug fix in analog_layers.py	python p3_hat_train.py --name combined_layerlast2_v2_seed42 --sigma_d2d 0.02 --sigma_c2c 0.01 --max_steps 500 --seed 42 --analog_layers "22,23"	python p3_hat_eval.py --checkpoint_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/combined_layerlast2_v2_seed42 --n_states 256 --sigma_c2c 0.0 --sigma_d2d 0.02 --max_length 512 --output_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107 --d2d-seed 42	hat_config.json in checkpoint dir	wikitext	wikitext-2-raw-v1 (test)	GPTNeoXTokenizer (AutoTokenizer from checkpoint)	512	512	1	negative-log-likelihood token average then exp, non-overlapping stride=max_length	[22, 23]	last2	42	42	0	42	0.0	0.02	18.599188094622956		yes	Recovered from /home/lisq753/projects/HAT_kv107/paper2/results/remote107/eval_combined_layerlast2_v2_seed42_c2c0.0_d2d0.02_seed42.json
last2_c2c0.0_d2d0.02_seed123_20260511	last2_c2c0.0_d2d0.02_seed123_20260511.json	combined_layerlast2_v2_seed42	/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/combined_layerlast2_v2_seed42	a416b6c75d9da9e3b834f16576712d94c4ad2d40f16b53c8e8098b33a8017102	6df8267		HAT/p3_hat_eval.py	c727a43 dual-bug fix in analog_layers.py	python p3_hat_train.py --name combined_layerlast2_v2_seed42 --sigma_d2d 0.02 --sigma_c2c 0.01 --max_steps 500 --seed 42 --analog_layers "22,23"	python p3_hat_eval.py --checkpoint_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/combined_layerlast2_v2_seed42 --n_states 256 --sigma_c2c 0.0 --sigma_d2d 0.02 --max_length 512 --output_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107 --d2d-seed 123	hat_config.json in checkpoint dir	wikitext	wikitext-2-raw-v1 (test)	GPTNeoXTokenizer (AutoTokenizer from checkpoint)	512	512	1	negative-log-likelihood token average then exp, non-overlapping stride=max_length	[22, 23]	last2	42	123	0	123	0.0	0.02	18.579382570022123		yes	Recovered from /home/lisq753/projects/HAT_kv107/paper2/results/remote107/eval_combined_layerlast2_v2_seed42_c2c0.0_d2d0.02_seed123.json
last2_c2c0.0_d2d0.02_seed456_20260511	last2_c2c0.0_d2d0.02_seed456_20260511.json	combined_layerlast2_v2_seed42	/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/combined_layerlast2_v2_seed42	a416b6c75d9da9e3b834f16576712d94c4ad2d40f16b53c8e8098b33a8017102	6df8267		HAT/p3_hat_eval.py	c727a43 dual-bug fix in analog_layers.py	python p3_hat_train.py --name combined_layerlast2_v2_seed42 --sigma_d2d 0.02 --sigma_c2c 0.01 --max_steps 500 --seed 42 --analog_layers "22,23"	python p3_hat_eval.py --checkpoint_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/combined_layerlast2_v2_seed42 --n_states 256 --sigma_c2c 0.0 --sigma_d2d 0.02 --max_length 512 --output_dir /home/lisq753/projects/HAT_kv107/paper2/results/remote107 --d2d-seed 456	hat_config.json in checkpoint dir	wikitext	wikitext-2-raw-v1 (test)	GPTNeoXTokenizer (AutoTokenizer from checkpoint)	512	512	1	negative-log-likelihood token average then exp, non-overlapping stride=max_length	[22, 23]	last2	42	456	0	456	0.0	0.02	18.609887491570014		yes	Recovered from /home/lisq753/projects/HAT_kv107/paper2/results/remote107/eval_combined_layerlast2_v2_seed42_c2c0.0_d2d0.02_seed456.json
