checkpoint,train_seed,config,sigma_c2c,sigma_d2d,eval_d2d_seed,ppl,ctx_len,stride,batch_size,json_path
k107_a1_last1_seed123,123,EPSC-e5,0.01,0.1,1001,19.908560786124173,512,512,1,eval_k107_a1_last1_seed123_c2c0.01_d2d0.1_rst0.0_seed1001.json
k107_a1_last1_seed123,123,EPSC-e5,0.01,0.1,42,19.948253386051547,512,512,1,eval_k107_a1_last1_seed123_c2c0.01_d2d0.1_rst0.0_seed42.json
k107_a1_last1_seed123,123,EPSC-e5,0.01,0.1,456,19.974084647060067,512,512,1,eval_k107_a1_last1_seed123_c2c0.01_d2d0.1_rst0.0_seed456.json
k107_a1_last1_seed123,123,EPSC-e1,0.05,0.05,1001,19.78710065501407,512,512,1,eval_k107_a1_last1_seed123_c2c0.05_d2d0.05_rst0.0_seed1001.json
k107_a1_last1_seed123,123,EPSC-e1,0.05,0.05,42,19.81311523515418,512,512,1,eval_k107_a1_last1_seed123_c2c0.05_d2d0.05_rst0.0_seed42.json
k107_a1_last1_seed123,123,EPSC-e1,0.05,0.05,456,19.785327204807437,512,512,1,eval_k107_a1_last1_seed123_c2c0.05_d2d0.05_rst0.0_seed456.json
k107_a1_last1_seed123,123,EPSC-e4,0.0,0.2,1001,20.607383414732947,512,512,1,eval_k107_a1_last1_seed123_c2c0.0_d2d0.2_rst0.0_seed1001.json
k107_a1_last1_seed123,123,EPSC-e4,0.0,0.2,42,20.753617052107064,512,512,1,eval_k107_a1_last1_seed123_c2c0.0_d2d0.2_rst0.0_seed42.json
k107_a1_last1_seed123,123,EPSC-e4,0.0,0.2,456,20.719498319560813,512,512,1,eval_k107_a1_last1_seed123_c2c0.0_d2d0.2_rst0.0_seed456.json
k107_a1_last1_seed123,123,EPSC-e3,0.15,0.15,1001,20.825002409872816,512,512,1,eval_k107_a1_last1_seed123_c2c0.15_d2d0.15_rst0.0_seed1001.json
k107_a1_last1_seed123,123,EPSC-e3,0.15,0.15,42,20.84467929630398,512,512,1,eval_k107_a1_last1_seed123_c2c0.15_d2d0.15_rst0.0_seed42.json
k107_a1_last1_seed123,123,EPSC-e3,0.15,0.15,456,20.868840875398927,512,512,1,eval_k107_a1_last1_seed123_c2c0.15_d2d0.15_rst0.0_seed456.json
k107_a1_last1_seed123,123,EPSC-e2,0.1,0.1,1001,20.177114592002667,512,512,1,eval_k107_a1_last1_seed123_c2c0.1_d2d0.1_rst0.0_seed1001.json
k107_a1_last1_seed123,123,EPSC-e2,0.1,0.1,42,20.198246827047676,512,512,1,eval_k107_a1_last1_seed123_c2c0.1_d2d0.1_rst0.0_seed42.json
k107_a1_last1_seed123,123,EPSC-e2,0.1,0.1,456,20.230575150192834,512,512,1,eval_k107_a1_last1_seed123_c2c0.1_d2d0.1_rst0.0_seed456.json
k107_a1_last1_seed42,42,EPSC-e5,0.01,0.1,1001,19.815039226661604,512,512,1,eval_k107_a1_last1_seed42_c2c0.01_d2d0.1_rst0.0_seed1001.json
k107_a1_last1_seed42,42,EPSC-e5,0.01,0.1,42,19.83433229612322,512,512,1,eval_k107_a1_last1_seed42_c2c0.01_d2d0.1_rst0.0_seed42.json
k107_a1_last1_seed42,42,EPSC-e5,0.01,0.1,456,19.8694362833244,512,512,1,eval_k107_a1_last1_seed42_c2c0.01_d2d0.1_rst0.0_seed456.json
k107_a1_last1_seed42,42,EPSC-e1,0.05,0.05,1001,19.697386324486473,512,512,1,eval_k107_a1_last1_seed42_c2c0.05_d2d0.05_rst0.0_seed1001.json
k107_a1_last1_seed42,42,EPSC-e1,0.05,0.05,42,19.704788386694283,512,512,1,eval_k107_a1_last1_seed42_c2c0.05_d2d0.05_rst0.0_seed42.json
k107_a1_last1_seed42,42,EPSC-e1,0.05,0.05,456,19.67298991378625,512,512,1,eval_k107_a1_last1_seed42_c2c0.05_d2d0.05_rst0.0_seed456.json
k107_a1_last1_seed42,42,EPSC-e4,0.0,0.2,1001,20.52245222597173,512,512,1,eval_k107_a1_last1_seed42_c2c0.0_d2d0.2_rst0.0_seed1001.json
k107_a1_last1_seed42,42,EPSC-e4,0.0,0.2,42,20.625850525469954,512,512,1,eval_k107_a1_last1_seed42_c2c0.0_d2d0.2_rst0.0_seed42.json
k107_a1_last1_seed42,42,EPSC-e4,0.0,0.2,456,20.632283695332497,512,512,1,eval_k107_a1_last1_seed42_c2c0.0_d2d0.2_rst0.0_seed456.json
k107_a1_last1_seed42,42,EPSC-e3,0.15,0.15,1001,20.73784043402955,512,512,1,eval_k107_a1_last1_seed42_c2c0.15_d2d0.15_rst0.0_seed1001.json
k107_a1_last1_seed42,42,EPSC-e3,0.15,0.15,42,20.74599383268698,512,512,1,eval_k107_a1_last1_seed42_c2c0.15_d2d0.15_rst0.0_seed42.json
k107_a1_last1_seed42,42,EPSC-e3,0.15,0.15,456,20.784060187343815,512,512,1,eval_k107_a1_last1_seed42_c2c0.15_d2d0.15_rst0.0_seed456.json
k107_a1_last1_seed42,42,EPSC-e2,0.1,0.1,1001,20.09526999352591,512,512,1,eval_k107_a1_last1_seed42_c2c0.1_d2d0.1_rst0.0_seed1001.json
k107_a1_last1_seed42,42,EPSC-e2,0.1,0.1,42,20.081290571936254,512,512,1,eval_k107_a1_last1_seed42_c2c0.1_d2d0.1_rst0.0_seed42.json
k107_a1_last1_seed42,42,EPSC-e2,0.1,0.1,456,20.107228953009063,512,512,1,eval_k107_a1_last1_seed42_c2c0.1_d2d0.1_rst0.0_seed456.json
k107_a1_last1_seed456,456,EPSC-e5,0.01,0.1,1001,19.784720249914013,512,512,1,eval_k107_a1_last1_seed456_c2c0.01_d2d0.1_rst0.0_seed1001.json
k107_a1_last1_seed456,456,EPSC-e5,0.01,0.1,42,19.80819516149454,512,512,1,eval_k107_a1_last1_seed456_c2c0.01_d2d0.1_rst0.0_seed42.json
k107_a1_last1_seed456,456,EPSC-e5,0.01,0.1,456,19.810009737559334,512,512,1,eval_k107_a1_last1_seed456_c2c0.01_d2d0.1_rst0.0_seed456.json
k107_a1_last1_seed456,456,EPSC-e1,0.05,0.05,1001,19.662233832059997,512,512,1,eval_k107_a1_last1_seed456_c2c0.05_d2d0.05_rst0.0_seed1001.json
k107_a1_last1_seed456,456,EPSC-e1,0.05,0.05,42,19.658021858062863,512,512,1,eval_k107_a1_last1_seed456_c2c0.05_d2d0.05_rst0.0_seed42.json
k107_a1_last1_seed456,456,EPSC-e1,0.05,0.05,456,19.67709406239629,512,512,1,eval_k107_a1_last1_seed456_c2c0.05_d2d0.05_rst0.0_seed456.json
k107_a1_last1_seed456,456,EPSC-e4,0.0,0.2,1001,20.461162501645433,512,512,1,eval_k107_a1_last1_seed456_c2c0.0_d2d0.2_rst0.0_seed1001.json
k107_a1_last1_seed456,456,EPSC-e4,0.0,0.2,42,20.589449688386,512,512,1,eval_k107_a1_last1_seed456_c2c0.0_d2d0.2_rst0.0_seed42.json
k107_a1_last1_seed456,456,EPSC-e4,0.0,0.2,456,20.524151757020185,512,512,1,eval_k107_a1_last1_seed456_c2c0.0_d2d0.2_rst0.0_seed456.json
k107_a1_last1_seed456,456,EPSC-e3,0.15,0.15,1001,20.675012258776086,512,512,1,eval_k107_a1_last1_seed456_c2c0.15_d2d0.15_rst0.0_seed1001.json
k107_a1_last1_seed456,456,EPSC-e3,0.15,0.15,42,20.711241523620608,512,512,1,eval_k107_a1_last1_seed456_c2c0.15_d2d0.15_rst0.0_seed42.json
k107_a1_last1_seed456,456,EPSC-e3,0.15,0.15,456,20.66897287588187,512,512,1,eval_k107_a1_last1_seed456_c2c0.15_d2d0.15_rst0.0_seed456.json
k107_a1_last1_seed456,456,EPSC-e2,0.1,0.1,1001,20.02634468012444,512,512,1,eval_k107_a1_last1_seed456_c2c0.1_d2d0.1_rst0.0_seed1001.json
k107_a1_last1_seed456,456,EPSC-e2,0.1,0.1,42,20.050340347043367,512,512,1,eval_k107_a1_last1_seed456_c2c0.1_d2d0.1_rst0.0_seed42.json
k107_a1_last1_seed456,456,EPSC-e2,0.1,0.1,456,20.078606756294857,512,512,1,eval_k107_a1_last1_seed456_c2c0.1_d2d0.1_rst0.0_seed456.json
