model,experiment,experiment_name,dataset,checkpoint_path,layer,kind,samples,relative_scale,absolute_threshold,mean_relative_zero_frac,mean_relative_nonzero_frac,last_relative_zero_frac,mean_absolute_zero_frac,mean_absolute_nonzero_frac,last_absolute_zero_frac,model_mean_relative_zero_frac,model_mean_absolute_zero_frac,analysis_type,sweep_type,sigma_c2c,sigma_d2d,adc_label
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,patch_embed.conv1.conv,AnalogConv2d,1570,0.01,0.01,0.01707910358383777,0.9829208964161622,0.017172053456306458,0.005696084205013741,0.9943039157949862,0.005739795975387096,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,patch_embed.conv2.conv,AnalogConv2d,1570,0.01,0.01,0.3022975382531524,0.6977024617468476,0.2958296239376068,0.02395298997545318,0.9760470100245469,0.023920642212033272,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.1.blocks.0.attn.qkv,AnalogLinear,1570,0.01,0.01,0.3099499976938697,0.6900500023061302,0.30560988187789917,0.2583641278895603,0.7416358721104397,0.2577657699584961,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.1.blocks.0.attn.proj,AnalogLinear,1570,0.01,0.01,0.11423480306651182,0.8857651969334882,0.09857738018035889,0.06732249032160278,0.9326775096783972,0.06580585986375809,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.1.blocks.0.mlp.fc1,AnalogLinear,1570,0.01,0.01,0.1655223113336381,0.8344776886663618,0.15677066147327423,0.05988124905118517,0.9401187509488148,0.05945447087287903,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.1.blocks.0.mlp.fc2,AnalogLinear,1570,0.01,0.01,0.05143051110445314,0.9485694888955468,0.04699411243200302,0.017638967164857373,0.9823610328351426,0.0177601408213377,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.1.blocks.1.attn.qkv,AnalogLinear,1570,0.01,0.01,0.20121238964378454,0.7987876103562155,0.15193456411361694,0.05872011334178554,0.9412798866582145,0.05770188942551613,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.1.blocks.1.attn.proj,AnalogLinear,1570,0.01,0.01,0.0762740486793837,0.9237259513206163,0.058435555547475815,0.06915120704538504,0.930848792954615,0.07022156566381454,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.1.blocks.1.mlp.fc1,AnalogLinear,1570,0.01,0.01,0.10571265728420513,0.8942873427157949,0.10536099970340729,0.04611533711765223,0.9538846628823477,0.046259041875600815,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.1.blocks.1.mlp.fc2,AnalogLinear,1570,0.01,0.01,0.0080265125947868,0.9919734874052132,0.008106308989226818,0.004215326922453323,0.9957846730775467,0.004384099040180445,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.0.attn.qkv,AnalogLinear,1570,0.01,0.01,0.09161767069321529,0.9083823293067848,0.09712013602256775,0.08089623818541788,0.9191037618145821,0.08116628974676132,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.0.attn.proj,AnalogLinear,1570,0.01,0.01,0.08051086283603291,0.9194891371639671,0.06690050661563873,0.05727130373951736,0.9427286962604826,0.06002670153975487,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.0.mlp.fc1,AnalogLinear,1570,0.01,0.01,0.10547939892027788,0.8945206010797221,0.07198461145162582,0.049213771678649695,0.9507862283213503,0.049334339797496796,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.0.mlp.fc2,AnalogLinear,1570,0.01,0.01,0.02016067688774531,0.9798393231122546,0.017035534605383873,0.009404711063452966,0.990595288936547,0.00936453603208065,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.1.attn.qkv,AnalogLinear,1570,0.01,0.01,0.10203472183198686,0.8979652781680132,0.09315209835767746,0.06534656616532879,0.9346534338346713,0.06534398347139359,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.1.attn.proj,AnalogLinear,1570,0.01,0.01,0.07081805190937535,0.9291819480906247,0.062300700694322586,0.05661896630457253,0.9433810336954275,0.058207109570503235,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.1.mlp.fc1,AnalogLinear,1570,0.01,0.01,0.08574247592763537,0.9142575240723646,0.08676856756210327,0.04351163335191976,0.9564883666480802,0.04397321119904518,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.1.mlp.fc2,AnalogLinear,1570,0.01,0.01,0.01952521622797866,0.9804747837720214,0.016458066180348396,0.010549024607582837,0.9894509753924171,0.010582249611616135,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.2.attn.qkv,AnalogLinear,1570,0.01,0.01,0.11173583168512696,0.8882641683148731,0.09546595811843872,0.03919964601659471,0.9608003539834052,0.038480546325445175,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.2.attn.proj,AnalogLinear,1570,0.01,0.01,0.05355310217020618,0.9464468978297939,0.047417089343070984,0.042500768070387995,0.9574992319296121,0.04090600833296776,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.2.mlp.fc1,AnalogLinear,1570,0.01,0.01,0.0754160386077158,0.9245839613922842,0.06870415806770325,0.04047723501256317,0.9595227649874368,0.04004902392625809,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.2.mlp.fc2,AnalogLinear,1570,0.01,0.01,0.024823566566512082,0.9751764334334879,0.022817183285951614,0.01210286637329182,0.9878971336267082,0.012216497212648392,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.3.attn.qkv,AnalogLinear,1570,0.01,0.01,0.07737735117886477,0.9226226488211352,0.07243502885103226,0.03619956320068639,0.9638004367993136,0.03615273907780647,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.3.attn.proj,AnalogLinear,1570,0.01,0.01,0.07954545812621998,0.9204545418737801,0.08581990748643875,0.0509004143250596,0.9490995856749403,0.05303531512618065,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.3.mlp.fc1,AnalogLinear,1570,0.01,0.01,0.08405440177317637,0.9159455982268236,0.07185905426740646,0.037607809849035966,0.962392190150964,0.03702168166637421,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.3.mlp.fc2,AnalogLinear,1570,0.01,0.01,0.021367545601478806,0.9786324543985212,0.020890962332487106,0.009328956282727278,0.9906710437172728,0.009675940498709679,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.4.attn.qkv,AnalogLinear,1570,0.01,0.01,0.06424997148999742,0.9357500285100026,0.06400071829557419,0.030632100418020204,0.9693678995819798,0.03082549199461937,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.4.attn.proj,AnalogLinear,1570,0.01,0.01,0.05288916854721725,0.9471108314527827,0.04680723696947098,0.04212881926043778,0.9578711807395622,0.04265385493636131,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.4.mlp.fc1,AnalogLinear,1570,0.01,0.01,0.07050670177978315,0.9294932982202169,0.06657963991165161,0.03973083354675087,0.9602691664532491,0.03957270085811615,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.4.mlp.fc2,AnalogLinear,1570,0.01,0.01,0.01855129104368626,0.9814487089563138,0.019502848386764526,0.008444856531965505,0.9915551434680345,0.008623146452009678,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.5.attn.qkv,AnalogLinear,1570,0.01,0.01,0.06772954427417677,0.9322704557258232,0.06288065761327744,0.03366259836657032,0.9663374016334296,0.033785074949264526,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.5.attn.proj,AnalogLinear,1570,0.01,0.01,0.062181145213781645,0.9378188547862184,0.06784119457006454,0.0370651692341847,0.9629348307658153,0.039630498737096786,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.5.mlp.fc1,AnalogLinear,1570,0.01,0.01,0.06801500470395301,0.931984995296047,0.057350125163793564,0.03964184115456927,0.9603581588454307,0.0387137271463871,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.2.blocks.5.mlp.fc2,AnalogLinear,1570,0.01,0.01,0.004294773927077082,0.9957052260729229,0.0035116388462483883,0.0020239115737165046,0.9979760884262835,0.0021205355878919363,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.3.blocks.0.attn.qkv,AnalogLinear,1570,0.01,0.01,0.10427798140960134,0.8957220185903987,0.10772878676652908,0.05428679987408553,0.9457132001259144,0.05431680381298065,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.3.blocks.0.attn.proj,AnalogLinear,1570,0.01,0.01,0.07322952810935913,0.9267704718906409,0.07335378974676132,0.03654777066438061,0.9634522293356194,0.03611288219690323,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.3.blocks.0.mlp.fc1,AnalogLinear,1570,0.01,0.01,0.20551907978240092,0.7944809202175991,0.20023515820503235,0.07084009805872182,0.9291599019412782,0.07006935030221939,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.3.blocks.0.mlp.fc2,AnalogLinear,1570,0.01,0.01,0.10164492534604042,0.8983550746539596,0.09820929914712906,0.004086557820225787,0.9959134421797742,0.004323780070990324,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.3.blocks.1.attn.qkv,AnalogLinear,1570,0.01,0.01,0.2399701287222516,0.7600298712777485,0.2415417581796646,0.07421262790063385,0.9257873720993661,0.07454559952020645,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.3.blocks.1.attn.proj,AnalogLinear,1570,0.01,0.01,0.05200598127902693,0.9479940187209731,0.04410475119948387,0.054596886560795414,0.9454031134392046,0.05596699193120003,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.3.blocks.1.mlp.fc1,AnalogLinear,1570,0.01,0.01,0.10606468611272277,0.8939353138872772,0.10459980368614197,0.03629700353096245,0.9637029964690376,0.03509247303009033,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
tinyvit,V2,V2_hybrid_no_noise,cifar10,/home/qiaosir/projects/compute_vit/checkpoints/V2_hybrid_no_noise_best.pt,stages.3.blocks.1.mlp.fc2,AnalogLinear,1570,0.01,0.01,0.40941302127139584,0.5905869787286042,0.3907126784324646,0.13596920811446608,0.8640307918855339,0.1239367350935936,0.09895345659984865,0.04648462975886248,noise_sweep,noise,0.05,0.1,native
