dataset	model_type	experiment	experiment_name	checkpoint	strategy	protected_k	retention_time_s	retention_recalibrate_scale	retention_scales_d2d	instance_index	instance_seed	mc_index	mc_seed	accuracy	loss	elapsed_seconds	sigma_c2c	sigma_d2d	noise_mode	script	evidence_grade
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	fresh_all_analog	0	0.0	False	False	1	20260514	1	20260515	2.93	5.437886	1.3	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	fresh_all_analog	0	0.0	False	False	1	20260514	2	20260516	2.63	5.470882	0.96	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	fresh_all_analog	0	0.0	False	False	1	20260514	3	20260517	2.97	5.432404	0.959	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top5_d2d	5	0.0	False	False	1	20260514	1	20260515	15.16	4.146898	0.969	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top5_d2d	5	0.0	False	False	1	20260514	2	20260516	15.06	4.136128	0.987	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top5_d2d	5	0.0	False	False	1	20260514	3	20260517	14.7	4.162608	0.995	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top10_d2d	10	0.0	False	False	1	20260514	1	20260515	43.25	2.38608	0.99	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top10_d2d	10	0.0	False	False	1	20260514	2	20260516	45.08	2.320935	0.988	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top10_d2d	10	0.0	False	False	1	20260514	3	20260517	44.32	2.336714	0.984	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top15_d2d	15	0.0	False	False	1	20260514	1	20260515	64.45	1.49796	0.981	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top15_d2d	15	0.0	False	False	1	20260514	2	20260516	64.94	1.479339	0.981	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top15_d2d	15	0.0	False	False	1	20260514	3	20260517	65.28	1.477104	0.978	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top21_d2d	21	0.0	False	False	1	20260514	1	20260515	69.92	1.326636	0.972	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top21_d2d	21	0.0	False	False	1	20260514	2	20260516	70.26	1.307228	0.969	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top21_d2d	21	0.0	False	False	1	20260514	3	20260517	70.12	1.313788	0.97	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	fresh_all_analog	0	0.0	False	False	2	20360514	1	20360515	2.37	5.214674	0.97	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	fresh_all_analog	0	0.0	False	False	2	20360514	2	20360516	2.2	5.290643	0.963	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	fresh_all_analog	0	0.0	False	False	2	20360514	3	20360517	2.3	5.298534	0.968	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top5_d2d	5	0.0	False	False	2	20360514	1	20360515	16.98	3.852152	0.965	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top5_d2d	5	0.0	False	False	2	20360514	2	20360516	16.16	3.883386	0.964	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top5_d2d	5	0.0	False	False	2	20360514	3	20360517	17.02	3.858872	0.962	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top10_d2d	10	0.0	False	False	2	20360514	1	20360515	44.31	2.340918	0.969	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top10_d2d	10	0.0	False	False	2	20360514	2	20360516	44.69	2.326144	0.963	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top10_d2d	10	0.0	False	False	2	20360514	3	20360517	44.36	2.337493	0.96	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top15_d2d	15	0.0	False	False	2	20360514	1	20360515	64.24	1.502722	0.958	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top15_d2d	15	0.0	False	False	2	20360514	2	20360516	63.97	1.498952	0.958	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top15_d2d	15	0.0	False	False	2	20360514	3	20360517	64.34	1.498072	0.962	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top21_d2d	21	0.0	False	False	2	20360514	1	20360515	69.92	1.312763	0.957	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top21_d2d	21	0.0	False	False	2	20360514	2	20360516	70.15	1.291587	0.962	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top21_d2d	21	0.0	False	False	2	20360514	3	20360517	70.38	1.304163	0.957	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	fresh_all_analog	0	0.0	False	False	3	20460514	1	20460515	3.13	5.224918	0.963	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	fresh_all_analog	0	0.0	False	False	3	20460514	2	20460516	3.05	5.195157	0.956	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	fresh_all_analog	0	0.0	False	False	3	20460514	3	20460517	2.56	5.259611	0.956	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top5_d2d	5	0.0	False	False	3	20460514	1	20460515	12.56	4.191869	0.957	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top5_d2d	5	0.0	False	False	3	20460514	2	20460516	12.53	4.240061	0.964	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top5_d2d	5	0.0	False	False	3	20460514	3	20460517	11.44	4.302047	0.962	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top10_d2d	10	0.0	False	False	3	20460514	1	20460515	42.86	2.443451	0.961	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top10_d2d	10	0.0	False	False	3	20460514	2	20460516	42.8	2.454228	0.963	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top10_d2d	10	0.0	False	False	3	20460514	3	20460517	41.88	2.497691	0.989	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top15_d2d	15	0.0	False	False	3	20460514	1	20460515	63.35	1.505982	1.001	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top15_d2d	15	0.0	False	False	3	20460514	2	20460516	63.55	1.517337	0.994	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top15_d2d	15	0.0	False	False	3	20460514	3	20460517	63.16	1.508331	0.985	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top21_d2d	21	0.0	False	False	3	20460514	1	20460515	69.93	1.318587	0.988	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top21_d2d	21	0.0	False	False	3	20460514	2	20460516	69.75	1.314034	0.982	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top21_d2d	21	0.0	False	False	3	20460514	3	20460517	70.28	1.29191	0.981	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	fresh_all_analog	0	0.0	False	False	4	20560514	1	20560515	4.34	4.94241	0.982	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	fresh_all_analog	0	0.0	False	False	4	20560514	2	20560516	4.17	4.962614	0.978	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	fresh_all_analog	0	0.0	False	False	4	20560514	3	20560517	4.68	4.927284	0.971	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top5_d2d	5	0.0	False	False	4	20560514	1	20560515	12.71	4.124558	0.972	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top5_d2d	5	0.0	False	False	4	20560514	2	20560516	13.23	4.095954	0.975	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top5_d2d	5	0.0	False	False	4	20560514	3	20560517	13.14	4.09842	0.972	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top10_d2d	10	0.0	False	False	4	20560514	1	20560515	43.81	2.349149	0.974	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top10_d2d	10	0.0	False	False	4	20560514	2	20560516	44.55	2.358106	0.97	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top10_d2d	10	0.0	False	False	4	20560514	3	20560517	43.9	2.359078	0.965	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top15_d2d	15	0.0	False	False	4	20560514	1	20560515	64.03	1.549503	0.96	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top15_d2d	15	0.0	False	False	4	20560514	2	20560516	63.61	1.556074	0.97	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top15_d2d	15	0.0	False	False	4	20560514	3	20560517	62.85	1.581792	0.96	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top21_d2d	21	0.0	False	False	4	20560514	1	20560515	70.01	1.313461	0.965	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top21_d2d	21	0.0	False	False	4	20560514	2	20560516	70.08	1.304787	0.967	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top21_d2d	21	0.0	False	False	4	20560514	3	20560517	69.8	1.303534	0.967	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	fresh_all_analog	0	0.0	False	False	5	20660514	1	20660515	1.83	6.178726	0.958	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	fresh_all_analog	0	0.0	False	False	5	20660514	2	20660516	2.2	6.057249	0.961	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	fresh_all_analog	0	0.0	False	False	5	20660514	3	20660517	2.03	6.073625	0.961	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top5_d2d	5	0.0	False	False	5	20660514	1	20660515	10.2	4.602329	0.962	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top5_d2d	5	0.0	False	False	5	20660514	2	20660516	10.95	4.541538	0.96	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top5_d2d	5	0.0	False	False	5	20660514	3	20660517	10.52	4.547203	0.958	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top10_d2d	10	0.0	False	False	5	20660514	1	20660515	41.88	2.464178	0.959	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top10_d2d	10	0.0	False	False	5	20660514	2	20660516	42.49	2.425045	0.961	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top10_d2d	10	0.0	False	False	5	20660514	3	20660517	42.5	2.411461	0.958	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top15_d2d	15	0.0	False	False	5	20660514	1	20660515	63.83	1.50685	0.955	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top15_d2d	15	0.0	False	False	5	20660514	2	20660516	64.28	1.490896	0.955	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top15_d2d	15	0.0	False	False	5	20660514	3	20660517	63.82	1.488245	0.985	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top21_d2d	21	0.0	False	False	5	20660514	1	20660515	70.37	1.295199	1.001	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
cifar100	resnet	R4	R4_4bit_noise_HAT	checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	freeze_top21_d2d	21	0.0	False	False	5	20660514	2	20660516	70.27	1.301557	0.99	0.05	0.1	uniform	scripts/eval_resnet_retention_protection.py	resnet-retention-protection-n10-mc3
