dataset	experiment	checkpoint	strategy	protected_k	retention_time_s	retention_recalibrate_scale	retention_scales_d2d	instance_index	instance_seed	mc_index	mc_seed	accuracy	loss	elapsed_seconds	sigma_c2c	sigma_d2d	noise_mode	script	evidence_grade
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	0.0	True	True	1	20260514	1	20260515	59.2	2.525026	6.663	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	0.0	True	True	1	20260514	2	20260516	58.88	2.541386	6.039	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	1000.0	True	True	1	20260514	1	20261515	55.96	2.708076	6.121	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	1000.0	True	True	1	20260514	2	20261516	56.19	2.676233	6.134	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	10000.0	True	True	1	20260514	1	20270515	56.0	2.69635	6.129	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	10000.0	True	True	1	20260514	2	20270516	55.87	2.678366	6.136	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	0.0	True	True	1	20260514	1	20260515	63.05	2.235042	6.052	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	0.0	True	True	1	20260514	2	20260516	63.29	2.22375	6.065	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	1000.0	True	True	1	20260514	1	20261515	60.42	2.414494	6.13	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	1000.0	True	True	1	20260514	2	20261516	60.52	2.394953	6.134	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	10000.0	True	True	1	20260514	1	20270515	60.76	2.388775	6.132	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	10000.0	True	True	1	20260514	2	20270516	60.66	2.360032	6.146	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	0.0	True	True	1	20260514	1	20260515	64.92	2.100174	6.065	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	0.0	True	True	1	20260514	2	20260516	64.72	2.102812	6.052	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	1000.0	True	True	1	20260514	1	20261515	61.94	2.281979	6.128	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	1000.0	True	True	1	20260514	2	20261516	62.36	2.263361	6.135	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	10000.0	True	True	1	20260514	1	20270515	61.99	2.270857	6.145	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	10000.0	True	True	1	20260514	2	20270516	62.56	2.234267	6.137	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	0.0	True	True	2	20360514	1	20360515	58.35	2.536632	6.041	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	0.0	True	True	2	20360514	2	20360516	58.51	2.555102	6.055	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	1000.0	True	True	2	20360514	1	20361515	56.56	2.685509	6.134	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	1000.0	True	True	2	20360514	2	20361516	55.29	2.717616	6.134	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	10000.0	True	True	2	20360514	1	20370515	55.69	2.692834	6.148	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	10000.0	True	True	2	20360514	2	20370516	55.17	2.717985	6.151	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	0.0	True	True	2	20360514	1	20360515	62.95	2.264892	6.067	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	0.0	True	True	2	20360514	2	20360516	62.89	2.267224	6.067	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	1000.0	True	True	2	20360514	1	20361515	60.35	2.379863	6.147	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	1000.0	True	True	2	20360514	2	20361516	60.46	2.402299	6.141	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	10000.0	True	True	2	20360514	1	20370515	60.05	2.401971	6.144	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	10000.0	True	True	2	20360514	2	20370516	60.32	2.422643	6.236	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	0.0	True	True	2	20360514	1	20360515	65.01	2.099906	6.203	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	0.0	True	True	2	20360514	2	20360516	64.79	2.111668	6.129	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	1000.0	True	True	2	20360514	1	20361515	62.03	2.250324	6.174	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	1000.0	True	True	2	20360514	2	20361516	62.51	2.235503	6.151	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	10000.0	True	True	2	20360514	1	20370515	62.28	2.246058	6.129	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	10000.0	True	True	2	20360514	2	20370516	62.05	2.258892	5.752	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	0.0	True	True	3	20460514	1	20460515	58.02	2.598744	6.074	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	0.0	True	True	3	20460514	2	20460516	58.15	2.582012	6.101	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	1000.0	True	True	3	20460514	1	20461515	55.59	2.711884	6.183	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	1000.0	True	True	3	20460514	2	20461516	55.98	2.715118	6.146	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	10000.0	True	True	3	20460514	1	20470515	55.68	2.738022	6.15	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	10000.0	True	True	3	20460514	2	20470516	55.67	2.714175	6.148	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	0.0	True	True	3	20460514	1	20460515	62.56	2.276214	6.086	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	0.0	True	True	3	20460514	2	20460516	62.82	2.274977	6.069	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	1000.0	True	True	3	20460514	1	20461515	59.91	2.414855	6.145	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	1000.0	True	True	3	20460514	2	20461516	60.07	2.430438	6.149	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	10000.0	True	True	3	20460514	1	20470515	60.15	2.441515	6.144	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	10000.0	True	True	3	20460514	2	20470516	60.41	2.448048	6.149	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	0.0	True	True	3	20460514	1	20460515	64.68	2.09892	6.06	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	0.0	True	True	3	20460514	2	20460516	64.85	2.091246	6.073	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	1000.0	True	True	3	20460514	1	20461515	62.19	2.24311	6.139	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	1000.0	True	True	3	20460514	2	20461516	62.07	2.250224	6.155	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	10000.0	True	True	3	20460514	1	20470515	61.95	2.281469	6.16	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	10000.0	True	True	3	20460514	2	20470516	61.95	2.267876	6.158	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	0.0	True	True	4	20560514	1	20560515	58.1	2.614324	6.074	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	0.0	True	True	4	20560514	2	20560516	58.2	2.598388	6.078	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	1000.0	True	True	4	20560514	1	20561515	55.55	2.766971	6.158	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	1000.0	True	True	4	20560514	2	20561516	54.85	2.799235	6.154	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	10000.0	True	True	4	20560514	1	20570515	54.81	2.823043	6.148	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	10000.0	True	True	4	20560514	2	20570516	54.52	2.845514	6.159	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	0.0	True	True	4	20560514	1	20560515	63.55	2.231528	6.074	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	0.0	True	True	4	20560514	2	20560516	63.04	2.224927	6.064	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	1000.0	True	True	4	20560514	1	20561515	60.84	2.336585	6.153	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	1000.0	True	True	4	20560514	2	20561516	60.0	2.390584	6.138	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	10000.0	True	True	4	20560514	1	20570515	60.6	2.375248	6.144	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	10000.0	True	True	4	20560514	2	20570516	60.45	2.381441	6.156	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	0.0	True	True	4	20560514	1	20560515	65.05	2.086154	6.156	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	0.0	True	True	4	20560514	2	20560516	65.07	2.087021	6.219	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	1000.0	True	True	4	20560514	1	20561515	62.49	2.219113	6.218	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	1000.0	True	True	4	20560514	2	20561516	62.35	2.251882	6.18	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	10000.0	True	True	4	20560514	1	20570515	62.34	2.237364	6.169	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	10000.0	True	True	4	20560514	2	20570516	62.06	2.248439	6.161	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	0.0	True	True	5	20660514	1	20660515	58.98	2.53325	6.076	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	0.0	True	True	5	20660514	2	20660516	59.15	2.52083	5.679	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	1000.0	True	True	5	20660514	1	20661515	56.41	2.701474	6.203	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	1000.0	True	True	5	20660514	2	20661516	56.26	2.697804	6.16	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	10000.0	True	True	5	20660514	1	20670515	56.71	2.675807	6.166	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	10000.0	True	True	5	20660514	2	20670516	56.62	2.65852	6.165	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	0.0	True	True	5	20660514	1	20660515	63.97	2.167829	6.092	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	0.0	True	True	5	20660514	2	20660516	64.34	2.160015	6.098	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	1000.0	True	True	5	20660514	1	20661515	60.81	2.332171	6.175	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	1000.0	True	True	5	20660514	2	20661516	61.51	2.319712	6.154	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	10000.0	True	True	5	20660514	1	20670515	61.67	2.325886	6.169	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	10000.0	True	True	5	20660514	2	20670516	61.52	2.323195	6.15	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	0.0	True	True	5	20660514	1	20660515	64.74	2.103187	6.07	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	0.0	True	True	5	20660514	2	20660516	65.05	2.088195	6.086	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	1000.0	True	True	5	20660514	1	20661515	61.9	2.269695	6.169	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	1000.0	True	True	5	20660514	2	20661516	61.85	2.258039	6.232	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	10000.0	True	True	5	20660514	1	20670515	62.17	2.26921	6.303	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	10000.0	True	True	5	20660514	2	20670516	62.25	2.259351	6.217	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
