dataset	model_type	experiment	experiment_name	checkpoint	module_path	layer_index	layer_type	retention_time_s	tau_1	tau_2	A_0	retention_state_dependent	retention_decay_factor_scalar	weight_abs_mean	base_effective_abs_mean	drift_pos_mean	drift_pos_l2	drift_neg_mean	drift_neg_l2	drift_effective_mean	drift_effective_std	drift_effective_l2	drift_effective_linf	drift_abs_to_weight_abs_corr	drift_abs_to_base_effective_abs_corr	script	evidence_grade
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	patch_embed.conv1.conv	1	AnalogConv2d	0.0	0.14	0.61	0.6	False	1.0	0.09122087061405182	2.8215277194976807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	nan	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	patch_embed.conv1.conv	1	AnalogConv2d	1000.0	0.14	0.61	0.6	False	0.6000000238418579	0.09122087061405182	2.8215277194976807	-0.9608333110809326	36.48868179321289	-0.9677778482437134	36.870540618896484	0.006944448687136173	1.3753126859664917	40.42628860473633	3.5999999046325684	0.995837141131725	0.999999999999997	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	patch_embed.conv1.conv	1	AnalogConv2d	10000.0	0.14	0.61	0.6	False	0.6000000238418579	0.09122087061405182	2.8215277194976807	-0.9608333110809326	36.48868179321289	-0.9677778482437134	36.870540618896484	0.006944448687136173	1.3753126859664917	40.42628860473633	3.5999999046325684	0.995837141131725	0.999999999999997	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	patch_embed.conv1.conv	1	AnalogConv2d	86400.0	0.14	0.61	0.6	False	0.6000000238418579	0.09122087061405182	2.8215277194976807	-0.9608333110809326	36.48868179321289	-0.9677778482437134	36.870540618896484	0.006944448687136173	1.3753126859664917	40.42628860473633	3.5999999046325684	0.995837141131725	0.999999999999997	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	patch_embed.conv2.conv	2	AnalogConv2d	0.0	0.14	0.61	0.6	False	1.0	0.04160580411553383	1.2697917222976685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	nan	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	patch_embed.conv2.conv	2	AnalogConv2d	1000.0	0.14	0.61	0.6	False	0.6000000238418579	0.04160580411553383	1.2697917222976685	-0.6436849236488342	102.05117797851562	-0.6642317771911621	103.2564468383789	0.020546874031424522	0.6455300450325012	87.6844482421875	3.5999999046325684	0.9846806845256467	0.9999999999999976	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	patch_embed.conv2.conv	2	AnalogConv2d	10000.0	0.14	0.61	0.6	False	0.6000000238418579	0.04160580411553383	1.2697917222976685	-0.6436849236488342	102.05117797851562	-0.6642317771911621	103.2564468383789	0.020546874031424522	0.6455300450325012	87.6844482421875	3.5999999046325684	0.9846806845256467	0.9999999999999976	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	patch_embed.conv2.conv	2	AnalogConv2d	86400.0	0.14	0.61	0.6	False	0.6000000238418579	0.04160580411553383	1.2697917222976685	-0.6436849236488342	102.05117797851562	-0.6642317771911621	103.2564468383789	0.020546874031424522	0.6455300450325012	87.6844482421875	3.5999999046325684	0.9846806845256467	0.9999999999999976	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.0.attn.qkv	3	AnalogLinear	0.0	0.14	0.61	0.6	False	1.0	0.03758940473198891	1.4034546613693237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	nan	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.0.attn.qkv	3	AnalogLinear	1000.0	0.14	0.61	0.6	False	0.6000000238418579	0.03758940473198891	1.4034546613693237	-0.6802732944488525	178.80282592773438	-0.6811083555221558	179.3253936767578	0.0008349617710337043	0.7318350076675415	162.249755859375	3.5999999046325684	0.9890227503547576	0.9999999999999971	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.0.attn.qkv	3	AnalogLinear	10000.0	0.14	0.61	0.6	False	0.6000000238418579	0.03758940473198891	1.4034546613693237	-0.6802732944488525	178.80282592773438	-0.6811083555221558	179.3253936767578	0.0008349617710337043	0.7318350076675415	162.249755859375	3.5999999046325684	0.9890227503547576	0.9999999999999971	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.0.attn.qkv	3	AnalogLinear	86400.0	0.14	0.61	0.6	False	0.6000000238418579	0.03758940473198891	1.4034546613693237	-0.6802732944488525	178.80282592773438	-0.6811083555221558	179.3253936767578	0.0008349617710337043	0.7318350076675415	162.249755859375	3.5999999046325684	0.9890227503547576	0.9999999999999971	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.0.attn.proj	4	AnalogLinear	0.0	0.14	0.61	0.6	False	1.0	0.027866527438163757	1.6957764625549316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	nan	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.0.attn.proj	4	AnalogLinear	1000.0	0.14	0.61	0.6	False	0.6000000238418579	0.027866527438163757	1.6957764625549316	-0.7376317977905273	114.59593963623047	-0.7406787276268005	114.94708251953125	0.0030468758195638657	0.8633175492286682	110.50534057617188	3.5999999046325684	0.9915059830144761	0.9999999999999979	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.0.attn.proj	4	AnalogLinear	10000.0	0.14	0.61	0.6	False	0.6000000238418579	0.027866527438163757	1.6957764625549316	-0.7376317977905273	114.59593963623047	-0.7406787276268005	114.94708251953125	0.0030468758195638657	0.8633175492286682	110.50534057617188	3.5999999046325684	0.9915059830144761	0.9999999999999979	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.0.attn.proj	4	AnalogLinear	86400.0	0.14	0.61	0.6	False	0.6000000238418579	0.027866527438163757	1.6957764625549316	-0.7376317977905273	114.59593963623047	-0.7406787276268005	114.94708251953125	0.0030468758195638657	0.8633175492286682	110.50534057617188	3.5999999046325684	0.9915059830144761	0.9999999999999979	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.0.mlp.fc1	5	AnalogLinear	0.0	0.14	0.61	0.6	False	1.0	0.0388643778860569	1.5174684524536133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	nan	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.0.mlp.fc1	5	AnalogLinear	1000.0	0.14	0.61	0.6	False	0.6000000238418579	0.0388643778860569	1.5174684524536133	-0.7024718523025513	213.82127380371094	-0.704515278339386	214.35507202148438	0.0020434565376490355	0.7701579332351685	197.16114807128906	3.5999999046325684	0.9890277703785755	0.9999999999999964	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.0.mlp.fc1	5	AnalogLinear	10000.0	0.14	0.61	0.6	False	0.6000000238418579	0.0388643778860569	1.5174684524536133	-0.7024718523025513	213.82127380371094	-0.704515278339386	214.35507202148438	0.0020434565376490355	0.7701579332351685	197.16114807128906	3.5999999046325684	0.9890277703785755	0.9999999999999964	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.0.mlp.fc1	5	AnalogLinear	86400.0	0.14	0.61	0.6	False	0.6000000238418579	0.0388643778860569	1.5174684524536133	-0.7024718523025513	213.82127380371094	-0.704515278339386	214.35507202148438	0.0020434565376490355	0.7701579332351685	197.16114807128906	3.5999999046325684	0.9890277703785755	0.9999999999999964	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.0.mlp.fc2	6	AnalogLinear	0.0	0.14	0.61	0.6	False	1.0	0.03616523742675781	1.6335663795471191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	nan	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.0.mlp.fc2	6	AnalogLinear	1000.0	0.14	0.61	0.6	False	0.6000000238418579	0.03616523742675781	1.6335663795471191	-0.7278099060058594	224.07908630371094	-0.7256163358688354	223.6146697998047	-0.0021936041302978992	0.8285004496574402	212.09686279296875	3.5999999046325684	0.9905624271104702	0.999999999999999	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.0.mlp.fc2	6	AnalogLinear	10000.0	0.14	0.61	0.6	False	0.6000000238418579	0.03616523742675781	1.6335663795471191	-0.7278099060058594	224.07908630371094	-0.7256163358688354	223.6146697998047	-0.0021936041302978992	0.8285004496574402	212.09686279296875	3.5999999046325684	0.9905624271104702	0.999999999999999	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.0.mlp.fc2	6	AnalogLinear	86400.0	0.14	0.61	0.6	False	0.6000000238418579	0.03616523742675781	1.6335663795471191	-0.7278099060058594	224.07908630371094	-0.7256163358688354	223.6146697998047	-0.0021936041302978992	0.8285004496574402	212.09686279296875	3.5999999046325684	0.9905624271104702	0.999999999999999	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.1.attn.qkv	7	AnalogLinear	0.0	0.14	0.61	0.6	False	1.0	0.041800886392593384	1.5516847372055054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	nan	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.1.attn.qkv	7	AnalogLinear	1000.0	0.14	0.61	0.6	False	0.6000000238418579	0.041800886392593384	1.5516847372055054	-0.7094384431838989	188.72023010253906	-0.7112352252006531	189.20559692382812	0.001796875847503543	0.7977350354194641	176.86029052734375	3.5999999046325684	0.9903364452615995	0.9999999999999977	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.1.attn.qkv	7	AnalogLinear	10000.0	0.14	0.61	0.6	False	0.6000000238418579	0.041800886392593384	1.5516847372055054	-0.7094384431838989	188.72023010253906	-0.7112352252006531	189.20559692382812	0.001796875847503543	0.7977350354194641	176.86029052734375	3.5999999046325684	0.9903364452615995	0.9999999999999977	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.1.attn.qkv	7	AnalogLinear	86400.0	0.14	0.61	0.6	False	0.6000000238418579	0.041800886392593384	1.5516847372055054	-0.7094384431838989	188.72023010253906	-0.7112352252006531	189.20559692382812	0.001796875847503543	0.7977350354194641	176.86029052734375	3.5999999046325684	0.9903364452615995	0.9999999999999977	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.1.attn.proj	8	AnalogLinear	0.0	0.14	0.61	0.6	False	1.0	0.033024292439222336	1.5692873001098633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	nan	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.1.attn.proj	8	AnalogLinear	1000.0	0.14	0.61	0.6	False	0.6000000238418579	0.033024292439222336	1.5692873001098633	-0.7123193144798279	109.31416320800781	-0.715395450592041	109.63038635253906	0.0030761719681322575	0.8004587888717651	102.45948028564453	3.5999999046325684	0.989930646218807	0.999999999999997	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.1.attn.proj	8	AnalogLinear	10000.0	0.14	0.61	0.6	False	0.6000000238418579	0.033024292439222336	1.5692873001098633	-0.7123193144798279	109.31416320800781	-0.715395450592041	109.63038635253906	0.0030761719681322575	0.8004587888717651	102.45948028564453	3.5999999046325684	0.989930646218807	0.999999999999997	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.1.attn.proj	8	AnalogLinear	86400.0	0.14	0.61	0.6	False	0.6000000238418579	0.033024292439222336	1.5692873001098633	-0.7123193144798279	109.31416320800781	-0.715395450592041	109.63038635253906	0.0030761719681322575	0.8004587888717651	102.45948028564453	3.5999999046325684	0.989930646218807	0.999999999999997	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.1.mlp.fc1	9	AnalogLinear	0.0	0.14	0.61	0.6	False	1.0	0.038679495453834534	1.2315492630004883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	nan	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.1.mlp.fc1	9	AnalogLinear	1000.0	0.14	0.61	0.6	False	0.6000000238418579	0.038679495453834534	1.2315492630004883	-0.6427061557769775	189.39210510253906	-0.6499131917953491	191.57833862304688	0.007207032293081284	0.6270626783370972	160.5386505126953	3.5999999046325684	0.9836969100641484	0.9999999999999991	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.1.mlp.fc1	9	AnalogLinear	10000.0	0.14	0.61	0.6	False	0.6000000238418579	0.038679495453834534	1.2315492630004883	-0.6427061557769775	189.39210510253906	-0.6499131917953491	191.57833862304688	0.007207032293081284	0.6270626783370972	160.5386505126953	3.5999999046325684	0.9836969100641484	0.9999999999999991	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.1.mlp.fc1	9	AnalogLinear	86400.0	0.14	0.61	0.6	False	0.6000000238418579	0.038679495453834534	1.2315492630004883	-0.6427061557769775	189.39210510253906	-0.6499131917953491	191.57833862304688	0.007207032293081284	0.6270626783370972	160.5386505126953	3.5999999046325684	0.9836969100641484	0.9999999999999991	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.1.mlp.fc2	10	AnalogLinear	0.0	0.14	0.61	0.6	False	1.0	0.03277108445763588	1.5301117897033691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	nan	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.1.mlp.fc2	10	AnalogLinear	1000.0	0.14	0.61	0.6	False	0.6000000238418579	0.03277108445763588	1.5301117897033691	-0.7014134526252747	213.46617126464844	-0.7106310129165649	216.43724060058594	0.009217528626322746	0.7748472094535828	198.3749237060547	3.5999999046325684	0.9892568518649288	0.9999999999999967	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.1.mlp.fc2	10	AnalogLinear	10000.0	0.14	0.61	0.6	False	0.6000000238418579	0.03277108445763588	1.5301117897033691	-0.7014134526252747	213.46617126464844	-0.7106310129165649	216.43724060058594	0.009217528626322746	0.7748472094535828	198.3749237060547	3.5999999046325684	0.9892568518649288	0.9999999999999967	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.1.blocks.1.mlp.fc2	10	AnalogLinear	86400.0	0.14	0.61	0.6	False	0.6000000238418579	0.03277108445763588	1.5301117897033691	-0.7014134526252747	213.46617126464844	-0.7106310129165649	216.43724060058594	0.009217528626322746	0.7748472094535828	198.3749237060547	3.5999999046325684	0.9892568518649288	0.9999999999999967	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
cifar100	tinyvit	V4	V4_hybrid_standard_noise_hat	/home/qiaosir/projects/compute_vit/checkpoints/_ensemble/cifar100_seed123/V4_hybrid_standard_noise_hat_best.pt	stages.2.blocks.0.attn.qkv	11	AnalogLinear	0.0	0.14	0.61	0.6	False	1.0	0.035775672644376755	1.355672001838684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	nan	scripts/profile_drift_vectors.py	drift-vector-profile/provisional-model-only
