layer_id	module_path	role	stage	layer_type	diff_pair_arrays_128	parameter_count	perturbation_type	sigma_d2d	sigma_c2c	seed	metric_baseline	metric_perturbed	delta	baseline_loss	perturbed_loss	loss_delta	rank	subset_size	dataset	checkpoint_path	evidence_grade
0	patch_embed.conv1.conv	patch_embed_conv	patch_embed	AnalogConv2d	2	864	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	92.7734375	0.9765625	0.33898304402828217	0.41369783878326416	0.074714794754982	20	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
0	patch_embed.conv1.conv	patch_embed_conv	patch_embed	AnalogConv2d	2	864	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	91.6015625	1.171875	0.36475880444049835	0.4633849114179611	0.09862610697746277	20	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
0	patch_embed.conv1.conv	patch_embed_conv	patch_embed	AnalogConv2d	2	864	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	91.796875	-0.5859375	0.47226928174495697	0.5086999237537384	0.03643064200878143	20	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
1	patch_embed.conv2.conv	patch_embed_conv	patch_embed	AnalogConv2d	6	18432	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	93.5546875	0.1953125	0.33898304402828217	0.3699134439229965	0.030930399894714355	17	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
1	patch_embed.conv2.conv	patch_embed_conv	patch_embed	AnalogConv2d	6	18432	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	91.6015625	1.171875	0.36475880444049835	0.4118315577507019	0.04707275331020355	17	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
1	patch_embed.conv2.conv	patch_embed_conv	patch_embed	AnalogConv2d	6	18432	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	90.8203125	0.390625	0.47226928174495697	0.48818641901016235	0.015917137265205383	17	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
2	stages.1.blocks.0.attn.qkv	attention_qkv	stage_1	AnalogLinear	6	49536	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	93.359375	0.390625	0.33898304402828217	0.34095093607902527	0.001967892050743103	38	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
2	stages.1.blocks.0.attn.qkv	attention_qkv	stage_1	AnalogLinear	6	49536	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	92.578125	0.1953125	0.36475880444049835	0.36983896791934967	0.005080163478851318	38	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
2	stages.1.blocks.0.attn.qkv	attention_qkv	stage_1	AnalogLinear	6	49536	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	91.796875	-0.5859375	0.47226928174495697	0.46539078652858734	-0.006878495216369629	38	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
3	stages.1.blocks.0.attn.proj	attention_proj	stage_1	AnalogLinear	2	16512	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	93.75	0.0	0.33898304402828217	0.34948813915252686	0.01050509512424469	42	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
3	stages.1.blocks.0.attn.proj	attention_proj	stage_1	AnalogLinear	2	16512	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	93.5546875	-0.78125	0.36475880444049835	0.3482567369937897	-0.01650206744670868	42	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
3	stages.1.blocks.0.attn.proj	attention_proj	stage_1	AnalogLinear	2	16512	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	91.6015625	-0.390625	0.47226928174495697	0.47847457230091095	0.0062052905559539795	42	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
4	stages.1.blocks.0.mlp.fc1	mlp_fc1	stage_1	AnalogLinear	8	66048	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	92.3828125	1.3671875	0.33898304402828217	0.4061688482761383	0.06718580424785614	8	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
4	stages.1.blocks.0.mlp.fc1	mlp_fc1	stage_1	AnalogLinear	8	66048	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	91.015625	1.7578125	0.36475880444049835	0.5130031555891037	0.14824435114860535	8	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
4	stages.1.blocks.0.mlp.fc1	mlp_fc1	stage_1	AnalogLinear	8	66048	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	89.84375	1.3671875	0.47226928174495697	0.513557106256485	0.041287824511528015	8	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
5	stages.1.blocks.0.mlp.fc2	mlp_fc2	stage_1	AnalogLinear	8	65664	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	93.9453125	-0.1953125	0.33898304402828217	0.34046781063079834	0.0014847666025161743	34	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
5	stages.1.blocks.0.mlp.fc2	mlp_fc2	stage_1	AnalogLinear	8	65664	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	92.3828125	0.390625	0.36475880444049835	0.4097108095884323	0.04495200514793396	34	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
5	stages.1.blocks.0.mlp.fc2	mlp_fc2	stage_1	AnalogLinear	8	65664	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	91.2109375	0.0	0.47226928174495697	0.5075345039367676	0.03526522219181061	34	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
6	stages.1.blocks.1.attn.qkv	attention_qkv	stage_1	AnalogLinear	6	49536	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	93.5546875	0.1953125	0.33898304402828217	0.3439161777496338	0.0049331337213516235	23	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
6	stages.1.blocks.1.attn.qkv	attention_qkv	stage_1	AnalogLinear	6	49536	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	91.9921875	0.78125	0.36475880444049835	0.41297227144241333	0.04821346700191498	23	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
6	stages.1.blocks.1.attn.qkv	attention_qkv	stage_1	AnalogLinear	6	49536	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	91.015625	0.1953125	0.47226928174495697	0.5040765404701233	0.03180725872516632	23	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
7	stages.1.blocks.1.attn.proj	attention_proj	stage_1	AnalogLinear	2	16512	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	93.5546875	0.1953125	0.33898304402828217	0.3277350515127182	-0.011247992515563965	27	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
7	stages.1.blocks.1.attn.proj	attention_proj	stage_1	AnalogLinear	2	16512	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	91.796875	0.9765625	0.36475880444049835	0.3793922960758209	0.01463349163532257	27	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
7	stages.1.blocks.1.attn.proj	attention_proj	stage_1	AnalogLinear	2	16512	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	91.40625	-0.1953125	0.47226928174495697	0.48492978513240814	0.012660503387451172	27	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
8	stages.1.blocks.1.mlp.fc1	mlp_fc1	stage_1	AnalogLinear	8	66048	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	92.578125	1.171875	0.33898304402828217	0.445666179060936	0.10668313503265381	7	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
8	stages.1.blocks.1.mlp.fc1	mlp_fc1	stage_1	AnalogLinear	8	66048	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	91.015625	1.7578125	0.36475880444049835	0.4209812879562378	0.05622248351573944	7	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
8	stages.1.blocks.1.mlp.fc1	mlp_fc1	stage_1	AnalogLinear	8	66048	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	89.2578125	1.953125	0.47226928174495697	0.5499151945114136	0.0776459127664566	7	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
9	stages.1.blocks.1.mlp.fc2	mlp_fc2	stage_1	AnalogLinear	8	65664	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	71.6796875	22.0703125	0.33898304402828217	1.7942441701889038	1.4552611261606216	2	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
9	stages.1.blocks.1.mlp.fc2	mlp_fc2	stage_1	AnalogLinear	8	65664	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	50.5859375	42.1875	0.36475880444049835	3.603630781173706	3.2388719767332077	2	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
9	stages.1.blocks.1.mlp.fc2	mlp_fc2	stage_1	AnalogLinear	8	65664	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	76.7578125	14.453125	0.47226928174495697	1.3751198053359985	0.9028505235910416	2	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
10	stages.2.blocks.0.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	92.578125	1.171875	0.33898304402828217	0.41904905438423157	0.0800660103559494	14	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
10	stages.2.blocks.0.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	91.6015625	1.171875	0.36475880444049835	0.43942990899086	0.07467110455036163	14	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
10	stages.2.blocks.0.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	91.6015625	-0.390625	0.47226928174495697	0.4983861744403839	0.02611689269542694	14	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
11	stages.2.blocks.0.attn.proj	attention_proj	stage_2	AnalogLinear	8	25760	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	92.578125	1.171875	0.33898304402828217	0.3869572579860687	0.04797421395778656	26	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
11	stages.2.blocks.0.attn.proj	attention_proj	stage_2	AnalogLinear	8	25760	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	92.1875	0.5859375	0.36475880444049835	0.3842722624540329	0.019513458013534546	26	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
11	stages.2.blocks.0.attn.proj	attention_proj	stage_2	AnalogLinear	8	25760	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	91.9921875	-0.78125	0.47226928174495697	0.45069684088230133	-0.02157244086265564	26	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
12	stages.2.blocks.0.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	20	103040	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	92.578125	1.171875	0.33898304402828217	0.3523533195257187	0.013370275497436523	12	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
12	stages.2.blocks.0.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	20	103040	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	91.796875	0.9765625	0.36475880444049835	0.4183107167482376	0.05355191230773926	12	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
12	stages.2.blocks.0.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	20	103040	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	90.234375	0.9765625	0.47226928174495697	0.5082873851060867	0.03601810336112976	12	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
13	stages.2.blocks.0.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	20	102560	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	92.3828125	1.3671875	0.33898304402828217	0.43077898025512695	0.09179593622684479	10	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
13	stages.2.blocks.0.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	20	102560	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	91.6015625	1.171875	0.36475880444049835	0.44284236431121826	0.07808355987071991	10	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
13	stages.2.blocks.0.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	20	102560	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	90.625	0.5859375	0.47226928174495697	0.5099998414516449	0.03773055970668793	10	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
14	stages.2.blocks.1.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	92.7734375	0.9765625	0.33898304402828217	0.3805652856826782	0.04158224165439606	16	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
14	stages.2.blocks.1.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	92.1875	0.5859375	0.36475880444049835	0.4091257154941559	0.04436691105365753	16	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
14	stages.2.blocks.1.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	90.8203125	0.390625	0.47226928174495697	0.5110917240381241	0.038822442293167114	16	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
15	stages.2.blocks.1.attn.proj	attention_proj	stage_2	AnalogLinear	8	25760	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	93.5546875	0.1953125	0.33898304402828217	0.3348822593688965	-0.004100784659385681	41	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
15	stages.2.blocks.1.attn.proj	attention_proj	stage_2	AnalogLinear	8	25760	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	93.5546875	-0.78125	0.36475880444049835	0.35034358501434326	-0.01441521942615509	41	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
15	stages.2.blocks.1.attn.proj	attention_proj	stage_2	AnalogLinear	8	25760	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	91.2109375	0.0	0.47226928174495697	0.49718667566776276	0.024917393922805786	41	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
16	stages.2.blocks.1.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	20	103040	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	93.9453125	-0.1953125	0.33898304402828217	0.34982046484947205	0.01083742082118988	28	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
16	stages.2.blocks.1.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	20	103040	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	92.1875	0.5859375	0.36475880444049835	0.4266326576471329	0.06187385320663452	28	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
16	stages.2.blocks.1.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	20	103040	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	90.8203125	0.390625	0.47226928174495697	0.5213048160076141	0.049035534262657166	28	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
17	stages.2.blocks.1.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	20	102560	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	92.578125	1.171875	0.33898304402828217	0.39335688948631287	0.0543738454580307	11	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
17	stages.2.blocks.1.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	20	102560	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	91.796875	0.9765625	0.36475880444049835	0.40582965314388275	0.0410708487033844	11	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
17	stages.2.blocks.1.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	20	102560	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	90.234375	0.9765625	0.47226928174495697	0.5180124640464783	0.0457431823015213	11	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
18	stages.2.blocks.2.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	94.3359375	-0.5859375	0.33898304402828217	0.3052109330892563	-0.03377211093902588	33	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
18	stages.2.blocks.2.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	93.359375	-0.5859375	0.36475880444049835	0.33214418590068817	-0.03261461853981018	33	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
18	stages.2.blocks.2.attn.qkv	attention_qkv	stage_2	AnalogLinear	16	77280	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	89.6484375	1.5625	0.47226928174495697	0.5139825344085693	0.041713252663612366	33	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
19	stages.2.blocks.2.attn.proj	attention_proj	stage_2	AnalogLinear	8	25760	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	92.3828125	1.3671875	0.33898304402828217	0.3220154643058777	-0.01696757972240448	19	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
19	stages.2.blocks.2.attn.proj	attention_proj	stage_2	AnalogLinear	8	25760	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	92.1875	0.5859375	0.36475880444049835	0.38125714659690857	0.016498342156410217	19	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
19	stages.2.blocks.2.attn.proj	attention_proj	stage_2	AnalogLinear	8	25760	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260512	91.2109375	91.40625	-0.1953125	0.47226928174495697	0.4486546814441681	-0.02361460030078888	19	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
20	stages.2.blocks.2.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	20	103040	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260510	93.75	91.796875	1.953125	0.33898304402828217	0.4561590105295181	0.11717596650123596	9	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
20	stages.2.blocks.2.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	20	103040	single_layer_d2d_resample_checkpoint_baseline_full42	0.1	0.05	20260511	92.7734375	92.578125	0.1953125	0.36475880444049835	0.3769105523824692	0.012151747941970825	9	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
