file,device,measurement,type,C1_n,C1_peak_nA,C1_mean_nA,C1_baseline_nA,C1_amp_nA,C1_t_peak_s,C1_half_width_s,C2_n,C2_mean_nA,C2_std_nA,C3_n,C3_valid,C3_mean_nA,C3_std_nA
1-4-EPSC-365 nm-200 300 ms-64ci-1,9,1,repeat,2000,-36.8512,-24.19453185,-1.6022000000000003,-35.248999999999995,38.353025,38.885215,2000,-27.159809199999998,1.657587817538421,744,True,-23.935433467741937,0.38264921912183947
1-4-EPSC-365 nm-200 300 ms-64ci-10,9,10,repeat,2000,-30.155,-19.770956050000002,-0.06229900000000001,-30.092701,35.873715,37.40284200000001,2000,-21.4977713,1.378490084568234,544,True,-19.026491911764705,0.228890179962494
1-4-EPSC-365 nm-200 300 ms-64ci-11,9,11,repeat,2000,-30.6867,-19.29356805,-0.05711900000000001,-30.629580999999998,36.428918,35.243278,2000,-21.3217618,1.567200447521668,1210,True,-18.145922066115702,0.49751688916540904
1-4-EPSC-365 nm-200 300 ms-64ci-12,9,12,repeat,2000,-33.28660000000001,-21.8147066,-0.05314899999999999,-33.23345100000001,36.011519,36.618418,2000,-23.62334635,1.6685117169086372,569,True,-20.669070298769775,0.27453964953918913
1-4-EPSC-365 nm-200 300 ms-64ci-13,9,13,repeat,2000,-25.9671,-16.973860650000002,-0.15688000000000002,-25.810219999999997,36.579959,36.968346000000004,2000,-18.64176835,1.1402620483041075,582,True,-16.56133144329897,0.19401781531214735
1-4-EPSC-365 nm-200 300 ms-64ci-14,9,14,repeat,2000,-29.917399999999997,-19.5096413,-0.10621499999999999,-29.811185,36.141738,37.657782,2000,-20.514276400000004,1.2787885835875283,566,True,-18.16487296819788,0.22353344631614006
1-4-EPSC-365 nm-200 300 ms-64ci-15,9,15,repeat,2000,-32.9345,-22.86184105,-0.068358,-32.866141999999996,36.325486,38.447449999999996,2000,-23.442922149999998,1.4363307205284388,1117,True,-20.508332139659803,0.47183169966652594
1-4-EPSC-365 nm-200 300 ms-64ci-16,9,16,repeat,2000,-35.4169,-23.240408300000002,-0.11126799999999999,-35.305631999999996,36.470914,37.192271000000005,2000,-24.7581511,1.5826868024552814,512,True,-22.0012103515625,0.24052056018782672
1-4-EPSC-365 nm-200 300 ms-64ci-17,9,17,repeat,2000,-37.732600000000005,-24.719361250000002,-0.086997,-37.64560300000001,36.67778,37.488122999999995,2000,-26.179284749999997,1.6527962895771087,861,True,-22.98392996515679,0.410171243204845
1-4-EPSC-365 nm-200 300 ms-64ci-18,9,18,repeat,2000,-23.905199999999997,-14.98160395,-0.06903800000000002,-23.836161999999998,36.124615,36.403606999999994,2000,-15.4171017,1.333160378020541,469,False,-13.084996801705758,0.18719682660627143
1-4-EPSC-365 nm-200 300 ms-64ci-19,9,19,repeat,2000,-25.9427,-17.358581,-0.09763500000000003,-25.845064999999998,35.82007,38.715116,2000,-17.21427985,1.4494651912375414,574,True,-14.580417595818815,0.2492065607067176
1-4-EPSC-365 nm-200 300 ms-64ci-2,9,2,repeat,2000,-22.395,-14.274829,-0.045379,-22.349621,37.574834,36.738556,2000,-16.04400905,0.8794448167315193,756,True,-14.358328174603175,0.19627232632063168
1-4-EPSC-365 nm-200 300 ms-64ci-20,9,20,repeat,2000,-27.1078,-18.37168845,-0.12242499999999999,-26.985375,35.463908,38.654272,2000,-18.1237094,1.5129658162503907,677,True,-15.399412555391432,0.290357155612707
1-4-EPSC-365 nm-200 300 ms-64ci-21,9,21,repeat,2000,-27.573800000000002,-18.9750583,-0.14324800000000001,-27.430552000000002,34.409719,39.207599,2000,-18.282609700000002,1.4788252782758833,486,False,-15.730759670781895,0.20530470776383686
1-4-EPSC-365 nm-200 300 ms-64ci-22,9,22,repeat,2000,-28.6338,-19.169900100000003,-0.10352799999999998,-28.530272,35.517107,38.160666,2000,-19.761444100000002,1.5821478046481834,612,True,-16.942794117647058,0.2684078501234538
1-4-EPSC-365 nm-200 300 ms-64ci-23,9,23,repeat,2000,-29.0228,-19.250580650000003,-0.09839700000000001,-28.924403,36.197419,37.287363,2000,-20.1491051,1.6105079436569945,549,True,-17.311648087431696,0.25165196418375074
1-4-EPSC-365 nm-200 300 ms-64ci-24,9,24,repeat,2000,-27.5397,-17.160800300000002,-0.08378500000000003,-27.455915,35.445163,34.801452,2000,-19.18177915,1.5528384475702564,443,False,-16.422563205417607,0.25724321585735593
1-4-EPSC-365 nm-200 300 ms-64ci-3,9,3,repeat,2000,-17.3899,-11.62024895,-0.022361000000000006,-17.367539,35.007323,38.495795,2000,-11.79914985,0.967038247297306,576,True,-9.931735590277778,0.18965418781881985
1-4-EPSC-365 nm-200 300 ms-64ci-4,9,4,repeat,2000,-21.047,-13.60828385,-0.045077,-21.001923,37.33723,36.904549,2000,-14.981268550000001,1.0536361849856208,542,True,-13.004238376383764,0.1869456941803958
1-4-EPSC-365 nm-200 300 ms-64ci-5,9,5,repeat,2000,-23.7148,-15.313393,-0.07142399999999999,-23.643376,37.825724,36.907477,2000,-17.0035715,1.110109656602712,645,True,-14.914770387596901,0.23739094025710822
1-4-EPSC-365 nm-200 300 ms-64ci-6,9,6,repeat,2000,-25.7838,-16.83317825,-0.5526230000000001,-25.231177,38.870151,36.353224,2000,-18.94640535,1.2112463285849961,817,True,-16.563567074663403,0.29674443633449316
1-4-EPSC-365 nm-200 300 ms-64ci-7,9,7,repeat,2000,-26.9238,-18.6210576,-0.074697,-26.849103,35.80702,38.885677,2000,-19.6089387,1.193695843066896,618,True,-17.385355987055018,0.23036993603252637
1-4-EPSC-365 nm-200 300 ms-64ci-8,9,8,repeat,2000,-28.694100000000002,-19.518476500000002,-0.07555699999999999,-28.618543000000003,35.588719999999995,38.619509,2000,-20.670983550000003,1.2512292226999282,997,True,-18.138831293881644,0.37017846044026725
1-4-EPSC-365 nm-200 300 ms-64ci-9,9,9,repeat,2000,-28.9403,-19.08570675,-0.057325,-28.882975000000002,35.823431,37.705673999999995,2000,-20.72372725,1.3237743704288658,572,True,-18.32833531468531,0.2275605227961945
3-1-EPSC-365 nm-200 300 ms-64ci-1,1,1,wafer,2000,-20.1334,-12.861941599999998,-0.12160299999999999,-20.011797,36.719389,35.111569,2000,-14.2518521,1.092589128724835,600,True,-12.207866666666666,0.20861906531501478
3-1-EPSC-365 nm-200 300 ms-64ci-2,1,2,wafer,2000,-22.6484,-14.001942699999999,-0.06231600000000001,-22.586084,35.94976,34.504041,2000,-16.403906149999997,1.095344237299978,553,True,-14.392337613019892,0.19214036845856589
3-1-EPSC-365 nm-200 300 ms-64ci-3,1,3,wafer,2000,-26.525000000000002,-17.503071600000002,-0.079683,-26.445317000000003,35.489404,36.99646,2000,-19.764191049999997,1.2079921241717297,452,False,-17.64096681415929,0.17006146223106922
3-1-EPSC-365 nm-200 300 ms-64ci-4,1,4,wafer,2000,-28.8473,-19.466879999999996,-0.022402000000000005,-28.824898,34.751963,37.909155,2000,-21.79738385,1.2348311263445995,581,True,-19.534778313253014,0.2224828949130115
3-1-EPSC-365 nm-200 300 ms-64ci-5,1,5,wafer,2000,-30.722500000000004,-20.4752718,-0.065035,-30.657465000000002,35.348903,36.829194,2000,-22.95889785,1.3757900881070646,566,True,-20.465895759717316,0.2317237080381374
3-2-EPSC-365 nm-200 300 ms-64ci-1,2,1,wafer,2000,-26.5863,-17.022613950000004,-0.066583,-26.519717,35.518893,35.559548,2000,-19.145731249999997,1.4224283563269116,2000,True,-15.715603000000002,0.7352618848210721
3-2-EPSC-365 nm-200 300 ms-64ci-2,2,2,wafer,2000,-27.159499999999998,-16.39344315,-0.11639800000000002,-27.043101999999998,36.011144,33.13066,2000,-19.73556485,1.3597171325609483,523,True,-17.28004760994264,0.22166563315164994
3-2-EPSC-365 nm-200 300 ms-64ci-3,2,3,wafer,2000,-30.1249,-19.62273355,-0.062763,-30.062137,34.543235,36.678604,2000,-21.779248050000003,1.4418032173445063,549,True,-19.149717486338798,0.24786732938881145
3-2-EPSC-365 nm-200 300 ms-64ci-4,2,4,wafer,2000,-31.3685,-22.9075345,-0.357171,-31.011329,34.203608,40.432078,2000,-22.988401000000003,1.4895229690765777,602,True,-20.199448338870436,0.27896896696827383
3-2-EPSC-365 nm-200 300 ms-64ci-5,2,5,wafer,2000,-31.873000000000005,-22.72704585,-0.113293,-31.759707000000006,35.375918,39.863496999999995,2000,-23.5112563,1.558071103362063,975,True,-20.379600820512824,0.4324441508840454
3-3-EPSC-365 nm-200 300 ms-64ci-1,3,1,wafer,2000,-24.4801,-16.04936325,-0.048537,-24.431563,35.580081,36.899498,2000,-17.09643095,1.5718463696150249,2000,True,-13.089304650000003,0.8655502802016507
3-3-EPSC-365 nm-200 300 ms-64ci-2,3,2,wafer,2000,-24.4543,-15.2709359,-0.06291,-24.39139,35.942521,34.178535000000004,2000,-18.1021564,1.4125619843138935,547,True,-15.465256489945153,0.25090126089518267
3-3-EPSC-365 nm-200 300 ms-64ci-3,3,3,wafer,2000,-27.0562,-18.817644800000004,-0.28593399999999997,-26.770266,35.457626999999995,38.086411,2000,-20.6803076,1.466813499523178,547,True,-17.91416361974406,0.2643691570887958
3-3-EPSC-365 nm-200 300 ms-64ci-4,3,4,wafer,2000,-26.765,-18.3684171,-0.205398,-26.559602,35.515401,37.91253,2000,-20.6568617,1.38609987901681,503,True,-18.068573757455272,0.23672066772692343
3-3-EPSC-365 nm-200 300 ms-64ci-5,3,5,wafer,2000,-26.3671,-17.71934575,-0.055132,-26.311968,35.054684,37.422163,2000,-20.29705655,1.303057152272356,482,False,-17.873322199170126,0.21403150754351327
3-5-EPSC-365 nm-200 300 ms-64ci-1,5,1,wafer,2000,-25.751099999999997,-16.590172900000002,-0.08394200000000003,-25.667157999999997,35.438452,36.625975000000004,2000,-17.880135300000003,1.3187030162877815,443,False,-15.600925282167042,0.17423841935744358
3-5-EPSC-365 nm-200 300 ms-64ci-2,5,2,wafer,2000,-29.5061,-19.73054015,-0.10678499999999999,-29.399315,35.721238,37.715143999999995,2000,-20.9989468,1.4345959658532368,624,True,-18.332408012820515,0.2690819778775915
3-5-EPSC-365 nm-200 300 ms-64ci-3,5,3,wafer,2000,-31.624,-21.582195900000002,-0.045747,-31.578253,35.015575,38.34792,2000,-22.84370895,1.5607748054000243,929,True,-19.729694402583423,0.42382248623607127
3-5-EPSC-365 nm-200 300 ms-64ci-4,5,4,wafer,2000,-32.0653,-21.3098999,-0.03288600000000001,-32.032414,34.832312,37.024406,2000,-23.3758814,1.5472191526371382,483,False,-20.63334285714286,0.2284889766576507
3-5-EPSC-365 nm-200 300 ms-64ci-5,5,5,wafer,2000,-34.0135,-20.60467425,-0.15456199999999998,-33.858938,38.79996,33.950108,2000,-25.565365749999998,1.800607227094535,507,True,-22.377835108481264,0.27646747071183
3-6-EPSC-365 nm-200 300 ms-64ci-1,6,1,wafer,2000,-30.587500000000002,-19.243785250000002,-0.063476,-30.524024,36.250741,35.810133,2000,-20.8911227,1.7192103820718456,480,False,-17.884583958333337,0.24236090174388886
3-6-EPSC-365 nm-200 300 ms-64ci-2,6,2,wafer,2000,-32.838800000000006,-21.17945425,-0.088373,-32.75042700000001,35.534424,35.934383,2000,-23.06514955,1.7679687390394965,659,True,-19.831393626707133,0.33687517795413396
3-6-EPSC-365 nm-200 300 ms-64ci-3,6,3,wafer,2000,-35.6261,-24.224671999999998,-0.063448,-35.562652,35.879132,37.694254,2000,-25.645448499999997,1.9176357858131627,854,True,-21.884239110070254,0.4826517911791049
3-6-EPSC-365 nm-200 300 ms-64ci-4,6,4,wafer,2000,-37.4307,-25.395675049999998,-0.07077200000000002,-37.359928000000004,35.594548,37.696084,2000,-27.3643472,1.9295107605426007,677,True,-23.705289955686855,0.4023523071520283
3-6-EPSC-365 nm-200 300 ms-64ci-5,6,5,wafer,2000,-37.9521,-25.639535150000004,-0.070871,-37.881229000000005,35.869351,37.217582,2000,-28.101947550000002,1.9115290347256821,535,True,-24.601615887850468,0.33324270185948424
3-7-EPSC-365 nm-200 300 ms-64ci-1,7,1,wafer,2000,-24.877000000000002,-16.05427355,-0.078501,-24.798499000000003,36.568956,36.879476,2000,-15.616821650000002,1.7668970270274205,600,True,-12.480407166666668,0.2967334634187608
3-7-EPSC-365 nm-200 300 ms-64ci-2,7,2,wafer,2000,-25.7185,-16.342870899999998,-0.0466,-25.671899999999997,35.916004,35.726881,2000,-16.8103403,1.6816992680708476,502,True,-13.840241434262948,0.250500509830786
3-7-EPSC-365 nm-200 300 ms-64ci-3,7,3,wafer,2000,-27.602,-18.84744405,-0.125149,-27.476851,35.891756,38.712198,2000,-18.4979753,1.6922042904360557,505,True,-15.487066930693068,0.25851596676972594
3-7-EPSC-365 nm-200 300 ms-64ci-4,7,4,wafer,2000,-27.9223,-19.5267385,-0.31461300000000003,-27.607687,35.821405,39.85897,2000,-18.946377899999998,1.6810640276753774,455,False,-16.01108967032967,0.22915311446942302
3-7-EPSC-365 nm-200 300 ms-64ci-5,7,5,wafer,2000,-28.3431,-20.056232100000003,-0.454545,-27.888555,35.768916,40.267502,2000,-19.46277095,1.6760853283395314,504,True,-16.489047817460317,0.25896595582727333
3-8-EPSC-365 nm-200 300 ms-64ci-1,8,1,wafer,2000,-21.8779,-15.483575700000001,-0.04363499999999999,-21.834265000000002,35.552077,40.667039,2000,-15.37412515,1.3799344359411523,422,False,-12.912659715639812,0.18855054625240542
3-8-EPSC-365 nm-200 300 ms-64ci-2,8,2,wafer,2000,-23.3393,-17.1071274,-0.145129,-23.194171,35.330087,41.994307000000006,2000,-17.0454784,1.3531398151680913,480,False,-14.549978125,0.21338953266739544
3-8-EPSC-365 nm-200 300 ms-64ci-3,8,3,wafer,2000,-23.569200000000002,-17.50294715,-0.5828419999999999,-22.986358000000003,35.647182,41.951065,2000,-17.480775249999997,1.3365213501407782,522,True,-15.007082567049808,0.22750072498401777
3-8-EPSC-365 nm-200 300 ms-64ci-4,8,4,wafer,2000,-18.3075,-12.091088950000001,-0.039885000000000004,-18.267615,33.192941,38.047216000000006,2000,-11.079719500000001,1.3759999824366216,500,True,-8.6189074,0.2084397274157936
3-8-EPSC-365 nm-200 300 ms-64ci-5,8,5,wafer,2000,-21.3241,-15.4464068,-0.067662,-21.256438000000003,34.432973,40.800671,2000,-13.648612349999999,1.5233967202557974,573,True,-10.863856544502617,0.2632995457992828
3-9-EPSC-365 nm-200 300 ms-64ci-1,9,1,wafer,2000,-27.3168,-19.2698797,-0.29108399999999995,-27.025716,36.542898,40.531523,2000,-19.717494449999997,1.478783136875435,448,False,-17.108624776785714,0.20050335581596226
3-9-EPSC-365 nm-200 300 ms-64ci-2,9,2,wafer,2000,-27.269099999999998,-19.27590845,-0.11374899999999999,-27.155351,35.821659,40.758882,2000,-19.5824703,1.4524428909164024,618,True,-16.878611812297734,0.2696104355229995
3-9-EPSC-365 nm-200 300 ms-64ci-3,9,3,wafer,2000,-27.1917,-19.7590853,-0.244428,-26.947272,35.478218,41.742881,2000,-19.561227700000003,1.43053674827905,1541,True,-16.241477482154448,0.6168359218197031
3-9-EPSC-365 nm-200 300 ms-64ci-4,9,4,wafer,2000,-26.933200000000003,-19.734431700000002,-0.20760400000000004,-26.725596000000003,35.244153,42.076027,2000,-19.251215799999997,1.4189022204880832,454,False,-16.71833832599119,0.20525703002175236
3-9-EPSC-365 nm-200 300 ms-64ci-5,9,5,wafer,2000,-26.6934,-18.53608195,-0.41072000000000003,-26.28268,37.364891,39.826564999999995,2000,-19.3785141,1.478056353432829,387,False,-16.821428423772613,0.1773355918685361
